id;Nombre_Municipio;departamento_id
1;LA CEIBA;1
2;EL PORVENIR;1
3;ESPARTA;1
4;JUTIAPA;1
5;LA MASICA;1
6;SAN FRANCISCO;1
7;TELA;1
8;ARIZONA;1
1;TRUJILLO;2
2;BALFATE;2
3;IRIONA;2
4;LIMON;2
5;SABA;2
6;SANTA FE;2
7;SANTA ROSA AGUAN;2
8;SONAGUERA;2
9;TOCOA;2
10;BONITO ORIENTAL;2
1;COMAYAGUA;3
2;AJUTERIQUE;3
3;EL ROSARIO;3
4;ESQUIAS;3
5;HUMUYA;3
6;LA LIBERTAD;3
7;LAMANI;3
8;LA TRINIDAD;3
9;LEJAMANI;3
10;MEAMBAR;3
11;MINAS DE ORO;3
12;OJOS DE AGUA;3
13;SAN JERONIMO;3
14;SAN JOSE DE COMAYAGUA;3
15;SAN JOSE DEL POTRERO;3
16;SAN LUIS;3
17;SAN SEBASTIAN;3
18;SIGUATEPEQUE;3
19;VILLA DE SAN ANTONIO;3
20;LAS LAJAS;3
21;TAULABE;3
1;SANTA ROSA DE COPAN;4
2;CABAÑAS;4
3;CONCEPCION;4
4;COPAN RUINAS;4
5;CORQUIN;4
6;CUCUYAGUA;4
7;DOLORES;4
8;DULCE NOMBRE;4
9;EL PARAISO;4
10;FLORIDA;4
11;LA JIGUA;4
12;LA UNION;4
13;NUEVA ARCADIA;4
14;SAN AGUSTIN;4
15;SAN ANTONIO;4
16;SAN JERONIMO;4
17;SAN JOSE;4
18;SAN JUAN DE OPOA;4
19;SAN NICOLAS;4
20;SAN PEDRO;4
21;SANTA RITA;4
22;TRINIDAD;4
23;VERACRUZ;4
1;SAN PEDRO SULA;5
2;CHOLOMA;5
3;OMOA;5
4;PIMIENTA;5
5;POTRERILLOS;5
6;PUERTO CORTES;5
7;SAN ANTONIO DE CORTES;5
8;SAN FRANCISCO DE YOJOA;5
9;SAN MANUEL;5
10;SANTA CRUZ DE YOJOA;5
11;VILLANUEVA;5
12;LA LIMA;5
1;CHOLUTECA;6
2;APACILAGUA;6
3;CONCEPCION DE MARIA;6
4;DUYURE;6
5;EL CORPUS;6
6;EL TRIUNFO;6
7;MARCOVIA;6
8;MOROLICA;6
9;NAMASIGUE;6
10;OROCUINA;6
11;PESPIRE;6
12;SAN ANTONIO DE FLORES;6
13;SAN ISIDRO;6
14;SAN JOSE;6
15;SAN MARCOS DE COLON;6
16;SANTA ANA DE YUSGUARE;6
1;YUSCARAN;7
2;ALAUCA;7
3;DANLI;7
4;EL PARAISO;7
5;GUINOPE;7
6;JACALEAPA;7
7;LIURE;7
8;MOROCELI;7
9;OROPOLI;7
10;POTRERILLOS;7
11;SAN ANTONIO DE FLORES;7
12;SAN LUCAS;7
13;SAN MATIAS;7
14;SOLEDAD;7
15;TEUPASENTI;7
16;TEXIGUAT;7
17;VADO ANCHO;7
18;YAUYUPE;7
19;TROJES;7
1;DISTRITO CENTRAL;8
2;ALUBAREN;8
3;CEDROS;8
4;CURAREN;8
5;EL PORVENIR;8
6;GUAIMACA;8
7;LA LIBERTAD;8
8;LA VENTA;8
9;LEPATERIQUE;8
10;MARAITA;8
11;MARALE;8
12;NUEVA ARMENIA;8
13;OJOJONA;8
14;ORICA;8
15;REITOCA;8
16;SABANAGRANDE;8
17;SAN ANTONIO DE ORIENTE;8
18;SAN BUENAVENTURA;8
19;SAN IGNACIO;8
20;CANTARRANAS;8
21;SAN MIGUELITO;8
22;SANTA ANA;8
23;SANTA LUCIA;8
24;TALANGA;8
25;TATUMBLA;8
26;VALLE DE ANGELES;8
27;VILLA SAN FRANCISCO;8
28;VALLECILLOS;8
1;PUERTO LEMPIRA;9
2;BRUS LAGUNA;9
3;AHUAS;9
4;JUAN FRANCISCO BULNES;9
5;VILLEDA MORALES;9
6;WAMPUSIRPI;9
1;LA ESPERANZA;10
2;CAMASCA;10
3;COLOMONCAGUA;10
4;CONCEPCION;10
5;DOLORES;10
6;INTIBUCA;10
7;JESUS DE OTORO;10
8;MAGDALENA;10
9;MASAGUARA;10
10;SAN ANTONIO;10
11;SAN ISIDRO;10
12;SAN JUAN;10
13;SAN MARCOS SIERRA;10
14;SAN MIGUELITO;10
15;SANTA LUCIA;10
16;YAMARANGUILA;10
17;SAN FRANCISCO DE OPALACA;10
1;ROATAN;11
2;GUANAJA;11
3;JOSE SANTOS GUARDIOLA;11
4;UTILA;11
1;LA PAZ;12
2;AGUANQUETERIQUE;12
3;CABAÑAS;12
4;CANE;12
5;CHINACLA;12
6;GUAJIQUIRO;12
7;LAUTERIQUE;12
8;MARCALA;12
9;Carga_MERCEDES DE ORIENTE;12
10;OPATORO;12
11;SAN ANTONIO DEL NORTE;12
12;SAN JOSE;12
13;SAN JUAN;12
14;SAN PEDRO DE TUTULE;12
15;SANTA ANA;12
16;SANTA ELENA;12
17;SANTA MARIA;12
18;SANTIAGO DE PURINGLA;12
19;YARULA;12
1;GRACIAS;13
2;BELEN;13
3;CANDELARIA;13
4;COLOLACA;13
5;ERANDIQUE;13
6;GUALCINCE;13
7;GUARITA;13
8;LA CAMPA;13
9;LA IGUALA;13
10;LAS FLORES;13
11;LA UNION;13
12;LA VIRTUD;13
13;LEPAERA;13
14;MAPULACA;13
15;PIRAERA;13
16;SAN ANDRES;13
17;SAN FRANCISCO;13
18;SAN JUAN GUARITA;13
19;SAN MANUEL COLOHETE;13
20;SAN RAFAEL;13
21;SAN SEBASTIAN;13
22;SANTA CRUZ;13
23;TALGUA;13
24;TAMBLA;13
25;TOMALA;13
26;VALLADOLID;13
27;VIRGINIA;13
28;SAN MARCOS DE CAIQUIN;13
1;OCOTEPEQUE;14
2;BELEN GUALCHO;14
3;CONCEPCION;14
4;DOLORES Carga_MERENDON;14
5;FRATERNIDAD;14
6;LA ENCARNACION;14
7;LA LABOR;14
8;LUCERNA;14
9;Carga_MERCEDES;14
10;SAN FERNANDO;14
11;SAN FRANCISCO DEL VALLE;14
12;SAN JORGE;14
13;SAN MARCOS;14
14;SANTA FE;14
15;SENSENTI;14
16;SINUAPA;14
1;JUTICALPA;15
2;CAMPAMENTO;15
3;CATACAMAS;15
4;CONCORDIA;15
5;DULCE NOMBRE DE CULMI;15
6;EL ROSARIO;15
7;ESQUIPULAS DEL NORTE;15
8;GUALACO;15
9;GUARIZAMA;15
10;GUATA;15
11;GUAYAPE;15
12;JANO;15
13;LA UNION;15
14;MANGULILE;15
15;MANTO;15
16;SALAMA;15
17;SAN ESTEBAN;15
18;SAN FRANCISCO DE BECERRA;15
19;SAN FRANCISCO DE LA PAZ;15
20;SANTA MARIA DEL REAL;15
21;SILCA;15
22;YOCON;15
23;PATUCA;15
1;SANTA BARBARA;16
2;ARADA;16
3;ATIMA;16
4;AZACUALPA;16
5;CEGUACA;16
6;SAN JOSE DE COLINAS;16
7;CONCEPCION DEL NORTE;16
8;CONCEPCION DEL SUR;16
9;CHINDA;16
10;EL NISPERO;16
11;GUALALA;16
12;ILAMA;16
13;MACUELIZO;16
14;NARANJITO;16
15;NUEVO CELILAC;16
16;PETOA;16
17;PROTECCION;16
18;QUIMISTAN;16
19;SAN FRANCISCO DE OJUERA;16
20;SAN LUIS;16
21;SAN MARCOS;16
22;SAN NICOLAS;16
23;SAN PEDRO DE ZACAPA;16
24;SANTA RITA;16
25;SAN VICENTE CENTENARIO;16
26;TRINIDAD;16
27;LAS VEGAS;16
28;NUEVA FRONTERA;16
1;NACAOME;17
2;ALIANZA;17
3;AMAPALA;17
4;ARAMECINA;17
5;CARIDAD;17
6;GOASCORAN;17
7;LANGUE;17
8;SAN FRANCISCO DE CORAY;17
9;SAN LORENZO;17
1;YORO;18
2;ARENAL;18
3;EL NEGRITO;18
4;EL PROGRESO;18
5;JOCON;18
6;MORAZAN;18
7;OLANCHITO;18
8;SANTA RITA;18
9;SULACO;18
10;VICTORIA;18
11;YORITO;18
